City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
211,Necochea,AR,2022-01-30 22:56:23,-38.5473,-58.7368,66.04,63,77,22.32,broken clouds,0,0
212,North Platte,US,2022-01-30 22:56:23,41.1239,-100.7654,58.98,18,37,7.0,scattered clouds,0,0
213,Luanda,AO,2022-01-30 22:56:24,-8.8368,13.2343,78.8,83,75,9.22,broken clouds,0,0
214,Broken Hill,AU,2022-01-30 22:56:25,-31.95,141.4333,78.51,69,75,5.75,broken clouds,0,0
215,Acapulco,MX,2022-01-30 22:55:14,16.8634,-99.8901,82.69,62,0,8.23,clear sky,0,0
216,Christchurch,NZ,2022-01-30 22:56:26,-43.5333,172.6333,72.91,58,22,8.01,few clouds,0,0
217,Tautira,PF,2022-01-30 22:56:27,-17.7333,-149.15,86.02,75,95,12.15,overcast clouds,0,0
218,Keti Bandar,PK,2022-01-30 22:56:27,24.1447,67.4497,71.11,84,0,13.11,clear sky,0,0
219,Santa Cruz,BO,2022-01-30 22:52:07,-17.8,-63.1667,91.45,40,20,10.36,few clouds,0,0
220,Hualmay,PE,2022-01-30 22:56:28,-11.0964,-77.6139,72.19,79,100,9.84,overcast clouds,0,0
221,Andra,RU,2022-01-30 22:56:28,62.5147,65.8878,-8.84,100,100,2.53,overcast clouds,0,0
222,Bathsheba,BB,2022-01-30 22:56:29,13.2167,-59.5167,79.41,69,40,13.8,scattered clouds,0,0
223,La Ronge,CA,2022-01-30 22:56:29,55.1001,-105.2842,12.45,79,100,5.75,overcast clouds,0,0
224,Nemuro,JP,2022-01-30 22:56:30,43.3236,145.575,16.59,66,38,12.62,scattered clouds,0,0
225,Pangkalanbuun,ID,2022-01-30 22:56:30,-2.6833,111.6167,74.14,91,99,2.53,overcast clouds,0,0
226,Ahipara,NZ,2022-01-30 22:56:31,-35.1667,173.1667,75.45,53,97,12.75,overcast clouds,0,0
227,Carnarvon,AU,2022-01-30 22:56:31,-24.8667,113.6333,78.87,73,47,14.97,scattered clouds,0,0
228,Nome,US,2022-01-30 22:56:32,64.5011,-165.4064,-0.83,69,0,3.8,clear sky,0,0
229,Nelson Bay,AU,2022-01-30 22:51:42,-32.7167,152.15,81.75,82,71,1.99,broken clouds,0,0
230,Yeppoon,AU,2022-01-30 22:56:32,-23.1333,150.7333,80.38,72,30,9.93,scattered clouds,0,0
231,Sabha,LY,2022-01-30 22:56:33,27.0377,14.4283,45.34,51,0,6.73,clear sky,0,0
232,Te Anau,NZ,2022-01-30 22:56:33,-45.4167,167.7167,69.71,65,25,1.05,scattered clouds,0,0
233,Port Hedland,AU,2022-01-30 22:56:34,-20.3167,118.5667,80.65,89,95,9.22,overcast clouds,0,0
234,Huicheng,CN,2022-01-30 22:56:34,23.0385,116.2899,51.75,67,99,12.59,overcast clouds,0,0
235,Sobolevo,RU,2022-01-30 22:56:35,54.4299,31.8996,29.7,97,99,5.1,overcast clouds,0,0
236,Vila Velha,BR,2022-01-30 22:56:36,-20.3297,-40.2925,78.94,85,0,5.75,clear sky,0,0
237,North Bend,US,2022-01-30 22:56:36,43.4065,-124.2243,57.92,89,100,1.01,overcast clouds,0,0
